Magnitude Bin,Count,RMSE
1e-01 to 1e-03,2664,0.0002476785036049093
1e-03 to 1e-04,1561,5.799436711205802e-05
1e-04 to 1e-05,6578,2.6592878889369352e-05
1e-05 to 1e-06,16974,8.373500701013937e-06
1e-06 to 1e-17,134596,9.01174558949743e-06
