epoch,total_loss,avg_loss
1,21.46073689894239,0.0001321693686693132
2,0.03790936394635806,2.334708599727668e-07
3,0.013430527533684856,8.271404441431061e-08
4,0.007144356685433078,4.3999659336423405e-08
5,0.003958857897730596,2.4381257337923153e-08
6,0.0028957147001335295,1.7833720508542243e-08
7,0.0022850224072455474,1.4072674688806313e-08
8,0.0017119679088642308,1.0543427225365245e-08
9,0.0011787878990598224,7.259753155141694e-09
10,0.0008380190030619281,5.161073596361021e-09
11,0.0006729287159782736,4.144338750766898e-09
12,0.0006215810833530207,3.828106171303239e-09
13,0.0005921064644537514,3.6465820330581527e-09
14,0.000571065958624375,3.5170007244084608e-09
15,0.0005732788141046795,3.5306289475755174e-09
16,0.0005978533241260628,3.681974984301964e-09
17,0.0006948491383027848,4.279339165395631e-09
18,0.0007671312691967324,4.724500189050719e-09
19,0.0007963674026436838,4.904555576627172e-09
20,0.0008070570954711195,4.970389753660519e-09
21,0.000841413469630796,5.181978959745746e-09
22,0.0008224357608768469,5.065101715659912e-09
23,0.0007603363274657206,4.682652457401911e-09
24,0.0007959105834858644,4.901742183034522e-09
25,0.0007639102304662351,4.704662908650053e-09
26,0.0008121796544064833,5.001937849312899e-09
27,0.0007705466399777058,4.745534294357472e-09
28,0.0008090174388477568,4.982462840790999e-09
29,0.0008003601339414819,4.929145448698256e-09
30,0.0007436511831536322,4.579894336827134e-09
31,0.0007369826196547321,4.538824925663331e-09
32,0.0007842900408590798,4.830175219150227e-09
33,0.000812707173114132,5.005186657351481e-09
34,0.0007624450741229309,4.695639509788764e-09
35,0.0007306707071415219,4.499952006439013e-09
36,0.0007358018243353779,4.5315528094903575e-09
37,0.0008168290350621538,5.030571801113201e-09
38,0.000722313517064996,4.448482919358489e-09
39,0.0007324966185148452,4.511197172650903e-09
40,0.0008036071437522519,4.94914267613613e-09
41,0.0007138979870728372,4.396654536609148e-09
42,0.0007115466786105475,4.38217362868548e-09
43,0.0007415023505643681,4.566660408838712e-09
44,0.0007128471925573854,4.3901830511069285e-09
45,0.0007206955110530001,4.4385181714509195e-09
46,0.0007549758870888777,4.649639330977919e-09
47,0.0007742456212846492,4.768315060291115e-09
48,0.0006637488924529843,4.087803344478357e-09
49,0.0007384929189405276,4.548126344530972e-09
50,0.0007192605128553067,4.42968050633607e-09
51,0.0006846205114011485,4.216344536352401e-09
52,0.0007211724089854427,4.441455223377302e-09
53,0.0007939345121469954,4.889572232741869e-09
54,0.0006848152426712004,4.217543819915875e-09
55,0.0006911539882173012,4.25658199464998e-09
56,0.0007292779791770231,4.491374669292451e-09
57,0.0006922624868737852,4.263408860301807e-09
58,0.0006437706596524326,3.964764213584972e-09
59,0.0007158600383694992,4.408738142237313e-09
60,0.0006679465171563637,4.113655085244245e-09
61,0.0007489791673144756,4.6127075764719236e-09
62,0.0007183423155691755,4.424025642004369e-09
63,0.0006910357669452398,4.255853910103526e-09
64,0.0006610687216430786,4.0712970853718205e-09
65,0.000711797902725309,4.383720832437099e-09
66,0.0006632703672116727,4.0848562705109396e-09
67,0.0006720530928931826,4.138946086437909e-09
68,0.0006928001474092471,4.2667201284034114e-09
69,0.0006435103471166521,3.963161037343968e-09
70,0.0006882427053263227,4.238652394956814e-09
71,0.0006326254503528363,3.8961246657562304e-09
72,0.0006752920269765618,4.1588935782215134e-09
73,0.0006928107798230166,4.2667856098182366e-09
74,0.0006443592398152865,3.9683890783275945e-09
75,0.0006585602095829635,4.0558480140353595e-09
76,0.0006727371561936039,4.143158999301632e-09
77,0.0006434568918147562,3.9628318243473746e-09
78,0.0006575511031666741,4.049633271336208e-09
79,0.0006320641065562418,3.89266754051623e-09
