Magnitude Bin,Count,RMSE
1e-01 to 1e-03,1041,0.00034461402932517025
1e-03 to 1e-04,1437,0.0001838709697957543
1e-04 to 1e-05,6549,4.5185528019735406e-05
1e-05 to 1e-06,16936,1.631806790098996e-05
1e-06 to 1e-17,134584,1.1282268349220044e-05
