Magnitude Bin,Count,RMSE
1e-01 to 1e-03,2664,0.00039852708686209665
1e-03 to 1e-04,1561,7.465653657217411e-05
1e-04 to 1e-05,6578,2.9931679577920333e-05
1e-05 to 1e-06,16974,3.21973584181388e-05
1e-06 to 1e-17,134596,3.095531791006111e-05
