Magnitude Bin,Count,RMSE
1e-01 to 1e-03,2664,0.0003672647906852061
1e-03 to 1e-04,1561,0.0002437927335308515
1e-04 to 1e-05,6578,5.456953754355189e-05
1e-05 to 1e-06,16974,7.483456056081236e-05
1e-06 to 1e-17,134596,7.814561502718291e-05
