index,SAPT - Undamped
55,-0.002654864382
73,3.095064000000012e-06
33,-0.0036146803539999
446,-0.0034021901359999
425,-0.000605207376
229,0.0003647187240001
210,-0.0003027133219999
9,-0.0014574435439999
352,-0.000739409092
70,-0.0006426637539999
78,-0.01821256788
442,-0.0014941511359999
408,-0.000421448822
429,-0.002402700494
457,-0.0114158420939999
418,-0.0029042919439999
157,0.0005381296919999
93,-0.0264847359040001
426,-0.0025919763159999
77,-0.022072617886
0,-0.0018062107240001
466,-0.000839476068
11,-0.00158696368
247,-0.0001596002219999
76,3.0265398000000005e-05
208,-0.0006811875380001
440,-0.0050241598900001
75,-0.0185376428600001
30,-0.0057762921040001
180,-5.257892600010012e-05
113,-0.0075392712139999
238,-0.0062628553039999
101,-0.002149932042
406,-0.000603822392
18,-0.0047621946619999
39,-0.001345053082
386,-0.0008013441939999
465,-0.000569861594
301,-0.0093733225539999
140,0.0001416112859999
284,-0.0083927138
248,-5.762850000000006e-05
154,0.0010162962399999
173,-0.0057544604819998
331,-0.002841341018
117,0.0005750775299999
297,1.3501129999999989e-05
72,-0.0032070782540001
90,8.848790400000001e-05
124,-0.017392018298
415,-0.0014036306779999
277,-0.016731102318
196,-0.001219620566
412,-0.0033640824779999
218,7.669314000000011e-06
132,-0.000136497948
79,-0.011391773494
434,-0.000344526232
63,-0.004376453646
148,-0.0032584523959999
296,-0.000146072838
302,-0.002916836014
462,-0.004919147444
175,-0.0061409524420001
82,-0.004455816528
304,7.818007999999994e-06
231,-0.0015434532240001
455,-0.0012317407039999
220,1.215816e-05
362,-0.000618619906
447,-0.004297158218
15,-0.007811016134
153,0.0009254523659999
364,-0.0007011268699999
19,-0.003421416964
384,-0.0001773649859999
312,-0.0046005962119999
56,-0.0034980141199999
203,-0.0217630324519999
393,-0.0025857088959999
311,-0.00430058113
271,-0.0043491359200001
298,5.569068e-06
400,-0.002291901136
25,-0.0029217880399999
402,-0.000836534406
382,-0.0041005743139999
155,0.0009588559519998
42,-0.0036351872540001
444,-0.001777999104
137,0.000559239262
131,-0.0008091347019998
398,-0.000128098566
321,-0.0061516991420001
414,-0.004642468476
305,-1.596700000000025e-07
22,-0.0051388935319999
307,-0.0029651428479999
46,-0.00030481435
461,-0.0032061586999999
126,-0.010293779178
290,-0.0163300334800001
371,-0.0026010645439999
57,-0.002410378748
176,-0.0045197141599999
451,0.000886321372
394,-0.001368830058
24,-0.0031167021799999
17,-0.0046483629499999
66,-0.00083648643
181,-0.0048177944639998
86,0.0004087420659999
31,-0.005624405914
84,-0.000257560392
323,-0.003935262778
262,-0.009048352022
199,-0.0064976282099999
449,-0.001154481376
